unity_time	capture_time_ns	frame_number	gaze_validity_L	gaze_validity_R	gaze_validity_C	gaze_origin_L.x	gaze_origin_L.y	gaze_origin_L.z	gaze_origin_R.x	gaze_origin_R.y	gaze_origin_R.z	gaze_origin_C.x	gaze_origin_C.y	gaze_origin_C.z	gaze_direct_L.x	gaze_direct_L.y	gaze_direct_L.z	gaze_direct_R.x	gaze_direct_R.y	gaze_direct_R.z	gaze_direct_C.x	gaze_direct_C.y	gaze_direct_C.z	focus_distance	focus_stability	IPD_mm	left_pupil_mm	left_iris_mm	left_ratio	right_pupil_mm	right_iris_mm	right_ratio	fixationPoint.x	fixationPoint.y	fixationPoint.z	gaze_contingency_L.x	gaze_contingency_L.y	gaze_contingency_L.z	gaze_contingency_R.x	gaze_contingency_R.y	gaze_contingency_R.z	gaze_contingency_C.x	gaze_contingency_C.y	gaze_contingency_C.z
7.8975	1000676832627094900	199911	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12253	-0.05458	0.99096	-0.15131	-0.05437	0.98699	-0.00143	-0.05500	0.99849	0.23712	0.00000	61.15000	2.39358	6.32240	0.37859	2.33499	6.19585	0.37686	-0.15246	0.31647	-0.34252	-0.80012	0.22563	0.04600	-0.87990	0.21289	-0.14601	-0.84344	0.21887	-0.03430
7.8975	1000676832632131700	199912	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12265	-0.05502	0.99092	-0.15122	-0.05480	0.98698	-0.00161	-0.05544	0.99846	0.23710	0.00000	61.15000	2.39358	6.32240	0.37859	2.33499	6.19585	0.37686	-0.15244	0.31637	-0.34256	-0.79999	0.22521	0.04611	-0.87981	0.21246	-0.14591	-0.84345	0.21842	-0.03446
7.8975	1000676832637194100	199913	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12271	-0.05517	0.99091	-0.15111	-0.05495	0.98699	-0.00205	-0.05559	0.99845	0.23715	0.00000	61.15000	2.39358	6.32240	0.37859	2.33499	6.19585	0.37686	-0.15252	0.31632	-0.34264	-0.79994	0.22506	0.04616	-0.87976	0.21232	-0.14581	-0.84361	0.21824	-0.03487
7.9084	1000676832642184700	199914	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12276	-0.05526	0.99090	-0.15098	-0.05505	0.98700	-0.00239	-0.05568	0.99845	0.23721	0.00000	61.15000	2.39683	6.32240	0.37910	2.33663	6.19585	0.37713	-0.15269	0.31630	-0.34271	-0.80003	0.22510	0.04613	-0.87982	0.21228	-0.14576	-0.84384	0.21822	-0.03524
7.9084	1000676832647192000	199915	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12279	-0.05535	0.99089	-0.15085	-0.05513	0.98702	-0.00283	-0.05577	0.99844	0.23731	0.00000	61.15000	2.39864	6.32240	0.37939	2.33796	6.19585	0.37734	-0.15281	0.31626	-0.34277	-0.80000	0.22502	0.04616	-0.87977	0.21220	-0.14563	-0.84400	0.21811	-0.03564
7.9194	1000676832652200100	199916	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12280	-0.05550	0.99088	-0.15071	-0.05529	0.98703	-0.00301	-0.05593	0.99843	0.23743	0.00000	61.15000	2.40045	6.32240	0.37967	2.33933	6.19585	0.37756	-0.15303	0.31621	-0.34281	-0.80015	0.22490	0.04598	-0.87984	0.21201	-0.14569	-0.84421	0.21794	-0.03599
7.9194	1000676832657204200	199917	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12279	-0.05560	0.99087	-0.15054	-0.05539	0.98705	-0.00349	-0.05602	0.99842	0.23758	0.00000	61.15000	2.40188	6.32240	0.37990	2.34113	6.19585	0.37785	-0.15321	0.31616	-0.34285	-0.80014	0.22480	0.04598	-0.87978	0.21192	-0.14552	-0.84438	0.21781	-0.03643
7.9319	1000676832662212300	199918	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12263	-0.05604	0.99087	-0.15037	-0.05582	0.98705	-0.00386	-0.05646	0.99840	0.23788	0.00000	61.15000	2.40417	6.32240	0.38026	2.34423	6.19585	0.37836	-0.15360	0.31598	-0.34284	-0.80040	0.22439	0.04560	-0.87984	0.21149	-0.14562	-0.84467	0.21737	-0.03703
7.9319	1000676832667221700	199919	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12242	-0.05643	0.99087	-0.15017	-0.05622	0.98706	-0.00466	-0.05686	0.99837	0.23824	0.00000	61.15000	2.40417	6.32240	0.38026	2.34423	6.19585	0.37836	-0.15399	0.31583	-0.34287	-0.80045	0.22399	0.04542	-0.87973	0.21111	-0.14542	-0.84493	0.21692	-0.03776
7.9319	1000676832672229800	199920	3	3	2	-0.03278	0.00000	0.00000	0.03278	0.00000	0.00000	0.00000	0.00000	0.00000	0.12221	-0.05679	0.99088	-0.14997	-0.05657	0.98707	-0.00546	-0.05721	0.99835	0.23861	0.00000	61.15000	2.40417	6.32240	0.38026	2.34423	6.19585	0.37836	-0.15438	0.31568	-0.34290	-0.80051	0.22362	0.04524	-0.87963	0.21077	-0.14523	-0.84520	0.21652	-0.03849
